,经度,纬度,连接顺序,块,名称
115,122.24537,31.421314,14.0,3.0,上海市
116,122.245492,31.421242,15.0,3.0,上海市
117,122.245579,31.421028,16.0,3.0,上海市
118,122.245657,31.420914,17.0,3.0,上海市
119,122.24583,31.420845,18.0,3.0,上海市
120,122.245891,31.420756,19.0,3.0,上海市
121,122.245917,31.420556,20.0,3.0,上海市
122,122.245995,31.420493,21.0,3.0,上海市
123,122.246273,31.420446,22.0,3.0,上海市
124,122.246377,31.42038,23.0,3.0,上海市
125,122.246351,31.420282,24.0,3.0,上海市
126,122.24616,31.420146,25.0,3.0,上海市
127,122.246169,31.420046,26.0,3.0,上海市
128,122.246802,31.419948,27.0,3.0,上海市
129,122.246958,31.41982,28.0,3.0,上海市
130,122.247149,31.419332,29.0,3.0,上海市
131,122.247123,31.419134,30.0,3.0,上海市
132,122.247001,31.418967,31.0,3.0,上海市
133,122.246845,31.418924,32.0,3.0,上海市
134,122.246654,31.418939,33.0,3.0,上海市
135,122.246429,31.419028,34.0,3.0,上海市
136,122.246394,31.41898,35.0,3.0,上海市
137,122.246472,31.418833,36.0,3.0,上海市
138,122.246455,31.418726,37.0,3.0,上海市
139,122.246394,31.418657,38.0,3.0,上海市
140,122.246273,31.418639,39.0,3.0,上海市
141,122.246047,31.418798,40.0,3.0,上海市
142,122.245986,31.418765,41.0,3.0,上海市
143,122.245969,31.418533,42.0,3.0,上海市
144,122.245856,31.418427,43.0,3.0,上海市
145,122.245587,31.418338,44.0,3.0,上海市
146,122.245283,31.418349,45.0,3.0,上海市
147,122.245006,31.418466,46.0,3.0,上海市
148,122.244884,31.418471,47.0,3.0,上海市
149,122.244763,31.418408,48.0,3.0,上海市
150,122.244537,31.41826,49.0,3.0,上海市
151,122.244364,31.41826,50.0,3.0,上海市
152,122.244208,31.418338,51.0,3.0,上海市
153,122.243834,31.418608,52.0,3.0,上海市
154,122.243687,31.418647,53.0,3.0,上海市
155,122.243609,31.418608,54.0,3.0,上海市
156,122.243566,31.41853,55.0,3.0,上海市
157,122.243722,31.418184,56.0,3.0,上海市
158,122.243687,31.418045,57.0,3.0,上海市
159,122.243566,31.417833,58.0,3.0,上海市
160,122.243392,31.417746,59.0,3.0,上海市
161,122.243218,31.417766,60.0,3.0,上海市
162,122.242611,31.418115,61.0,3.0,上海市
163,122.242455,31.418174,62.0,3.0,上海市
164,122.242247,31.418196,63.0,3.0,上海市
165,122.241848,31.418174,64.0,3.0,上海市
166,122.241623,31.418224,65.0,3.0,上海市
167,122.241475,31.4184,66.0,3.0,上海市
168,122.241458,31.418646,67.0,3.0,上海市
169,122.241536,31.418863,68.0,3.0,上海市
170,122.241709,31.418999,69.0,3.0,上海市
171,122.242013,31.419077,70.0,3.0,上海市
172,121.88262,31.240852,1.0,4.0,上海市
173,121.88991,31.242594,2.0,4.0,上海市
174,121.897368,31.242113,3.0,4.0,上海市
175,121.905931,31.239413,4.0,4.0,上海市
176,121.915451,31.236555,5.0,4.0,上海市
177,121.923553,31.233862,6.0,4.0,上海市
178,121.926732,31.229735,7.0,4.0,上海市
179,121.927522,31.224019,8.0,4.0,上海市
180,121.925453,31.205436,9.0,4.0,上海市
181,121.922438,31.196858,10.0,4.0,上海市
182,121.918782,31.194315,11.0,4.0,上海市
183,121.913859,31.193835,12.0,4.0,上海市
184,121.908782,31.195265,13.0,4.0,上海市
185,121.901642,31.201457,14.0,4.0,上海市
186,121.889275,31.215002,15.0,4.0,上海市
187,121.885158,31.220524,16.0,4.0,上海市
188,121.88254,31.225607,17.0,4.0,上海市
189,121.881431,31.231166,18.0,4.0,上海市
190,121.880877,31.236328,19.0,4.0,上海市
191,121.881831,31.239583,20.0,4.0,上海市
192,121.88262,31.240852,21.0,4.0,上海市
193,121.406768,30.704994,1.0,5.0,上海市
194,121.407081,30.705096,2.0,5.0,上海市
195,121.407905,30.705135,3.0,5.0,上海市
196,121.408626,30.705204,4.0,5.0,上海市
197,121.408955,30.705204,5.0,5.0,上海市
198,121.409155,30.705076,6.0,5.0,上海市
199,121.409329,30.704857,7.0,5.0,上海市
200,121.409294,30.70452,8.0,5.0,上海市
201,121.409103,30.70432,9.0,5.0,上海市
202,121.408773,30.704093,10.0,5.0,上海市
203,121.40662,30.703089,11.0,5.0,上海市
204,121.406377,30.703031,12.0,5.0,上海市
205,121.406073,30.70305,13.0,5.0,上海市
